Date,Politician,Last Name,Chamber,Symbol,Name,Trans Total<sup>*</sup>,Trans,Notes
22/01/2021,John,Boozman,US Senator,FCVT,Ssi Strategic ,32500,Buy,"Traded $15,001 to $50,000 "
22/01/2021,John,Boozman,US Senator,NFRA,Flexshares Glo,32500,Buy,"Traded $15,001 to $50,000 "
22/01/2021,John,Boozman,US Senator,GEM,GS Activebeta ,32500,Buy,"Traded $15,001 to $50,000 ."
22/01/2021,John,Boozman,US Senator,CMBS,CMBS Ishares E,32500,Buy,"Traded $15,001 to $50,000 "
22/01/2021,John,Boozman,US Senator,AAPL,Apple Inc,8000,Sell,"Traded $1,001 to $15,000 ."
22/01/2021,John,Boozman,US Senator,ACN,Accenture Plc,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,BAC,Bank of Americ,8000,Sell,"Traded $1,001 to $15,000 ."
22/01/2021,John,Boozman,US Senator,COF,Capital One Fi,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,CSCO,Cisco Systems ,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,CL,Colgate-Palmol,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,CMCSA,Comcast Corp A,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,DIS,Walt Disney Co,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,DTE,Dte Energy Com,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,EBAY,Ebay Inc,8000,Sell,"Traded $1,001 to $15,000 ."
22/01/2021,John,Boozman,US Senator,ECL,Ecolab Inc,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,FI,Fiserv Inc,8000,Sell,"Traded $1,001 to $15,000 ."
22/01/2021,John,Boozman,US Senator,FBIN,Fortune Brands,8000,Sell,"Traded $1,001 to $15,000 ."
22/01/2021,John,Boozman,US Senator,GD,General Dynami,8000,Sell,N/A
22/01/2021,John,Boozman,US Senator,GILD,Gilead Science,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,HAS,Hasbro Inc,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,HES,Hess Corp,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,HON,Honeywell Inte,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,HPQ,HP Inc,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,INTC,Intel Corp,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,QQQ,Nasdaq QQQ Inv,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,IQV,Iqvia Holdings,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,JPM,JP Morgan Chas,8000,Sell,"Traded $1,001 to $15,000 ."
