Date,Politician,Last Name,Chamber,Symbol,Name,Trans Total<sup>*</sup>,Trans,Notes
14/04/2021,Lois,Frankel,US Congressman,MS,Morgan Stanley,8000,Buy,"Traded $1,001 to $15,000 "
14/04/2021,Lois,Frankel,US Congressman,GS,Goldman Sachs ,8000,Sell,"Traded $1,001 to $15,000 "
14/04/2021,Donald,Beyer,US Congressman,EDIT,Editas Medicin,8000,Sell,"Traded $1,001 to $15,000 "
13/04/2021,Marie,Newman,US Congressman,SPOT,Spotify Techno,8000,Buy,"Traded $1,001 to $15,000 "
13/04/2021,Marie,Newman,US Congressman,SPOT,Spotify Techno,32500,Sell,"Traded $15,001 to $50,000 "
13/04/2021,Marie,Newman,US Congressman,JNJ,Johnson & John,32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
13/04/2021,Austin,Scott,US Congressman,NVVE,Nuvve Hldg Cor,8000,Buy,"Traded $1,001 to $15,000 ."
13/04/2021,Michael,Mccaul,US Congressman,DISH,Dish Network C,250001,Buy,"By Spouse & Dependent Child. Traded $150,002 To $350,000 ."
13/04/2021,Garret,Graves,US Congressman,ABNB,Airbnb Inc Cl ,16001,Buy,"Traded $2,002 to $30,000 ."
13/04/2021,Virginia,Foxx,US Congressman,T,AT&T Inc,8000,Buy,"Traded $1,001 to $15,000 "
13/04/2021,Earl,Blumenauer,US Congressman,HHH,Howard Hughes ,8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
13/04/2021,Thomas,Carper,US Senator,TRIT,Triterras Inc ,8000,Buy,"By Spouse. Traded $1,001 to $15,000 "
13/04/2021,Thomas,Carper,US Senator,GAN,Gan Ltd,8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
13/04/2021,Thomas,Carper,US Senator,NUAN,Nuance Communi,8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
12/04/2021,Diana,Harshbarger,US Congressman,PNC,PNC Bank,8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
12/04/2021,Diana,Harshbarger,US Congressman,RGA,Reinsurance Gr,24002,Sell,"By Congressman & Spouse. Traded $3,003 To $45,000 ."
12/04/2021,Diana,Harshbarger,US Congressman,AEP,American Elect,16001,Buy,"By Congressman & Spouse. Traded $2,002 To $30,000 ."
12/04/2021,Thomas,Tuberville,US Senator,SSYS,Stratasys Ltd,8000,Sell,"Sale Of Put Options With Strike Price $22.50 And Expiry 01/21/2022. Traded $1.001 To $15,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
12/04/2021,Marie,Newman,US Congressman,TGNA,Tegna Inc,8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
12/04/2021,Marie,Newman,US Congressman,NFLX,Netflix Inc,75000,Buy,"By Spouse. Traded $50,001 To $100,000 ."
12/04/2021,Peter,Sessions,US Congressman,AMT,American Tower,4831,Buy,By Spouse. Price Not Reported.
12/04/2021,Hakeem,Jeffries,US Congressman,SCHD,Schwab US Divi,32500,Buy,"Traded $15,001 to $50,000 "
12/04/2021,Brian,Mast,US Congressman,AMTX,Aemetis Inc,107500,Sell,"Traded $65,001 To $150,000 "
12/04/2021,Michael,Garcia,US Congressman,TSLA,Tesla Inc,32500,Buy,"Traded $15,001 to $50,000 "
12/04/2021,Michael,Garcia,US Congressman,GLD,Gold SPDR,32500,Buy,"Traded $15,001 to $50,000 "
12/04/2021,Garret,Graves,US Congressman,AMZN,Amazon.com Inc,8000,Buy,"Traded $1,001 to $15,000 ."
12/04/2021,Richard,Allen,US Congressman,TMO,Thermo Fisher ,32500,Sell,"By Spouse. Traded $15,001 To $50,000 ."
12/04/2021,Earl,Blumenauer,US Congressman,HHH,Howard Hughes ,8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
11/04/2021,Rohit,Khanna,US Congressman,ORLY,O'Reilly Autom,8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
09/04/2021,Virginia,Foxx,US Congressman,GLAXF,Gsk Plc,8000,Buy,"As ADR/ADS But Shown As Ord Equivalent. Traded $1,001 To $15,000 "
09/04/2021,Marie,Newman,US Congressman,SPOT,Spotify Techno,32500,Buy,"Traded $15,001 to $50,000 "
09/04/2021,Marie,Newman,US Congressman,NFLX,Netflix Inc,75000,Sell,"By Spouse. Traded $50,001 To $100,000 ."
